Match Group,Set,Target,Race,Gender,Age,Attractive,Luminance_median,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
3,C,AM-239,A,M,35.6,3.24,171,25,0.04,0.96,1,0,0,0,0,0,1.72,2.32,2.16,2.08,2.92,1.92,2.16,4.625,4.093023256,2.04,.,1.76,2.16,3.64,2.92,255,273,131,1237.5,47,54,50.5,138,140,139,640.5,487,468.5,480,458.5,21.5,399,414,15,223.5,504.5,511,507.75,369.5,344.5,0.517575758,1.315195072,0.934065934,0.105858586,0.363309353,0.040808081,0.378585859,0.328484848,0.180606061,0.288484848,0.41030303,153.5,0.393535354,1.728488591
3,D,AM-237,A,M,29.44,3.269230769,170,26,0,1,0.923076923,0,0,0.076923077,0,0,2.653846154,2,2.230769231,2.692307692,2.615384615,2,2.307692308,4.038461538,3.651162791,2.576923077,.,2.038461538,1.923076923,3.423076923,2.615384615,220.5,263.5,131.5,1129,51,55,53,145.5,145,145.25,602,505.5,433.5,415.5,416.5,1,358.5,365,6.5,222.5,489.5,490.5,490,325.5,328,0.533215235,1.190900099,0.836812144,0.116474756,0.364888124,0.046944198,0.383968113,0.320416298,0.197077059,0.289415412,0.4340124,96.5,0.447741364,1.973763869
4,C,AM-241,A,M,37.38461538,3.538461538,152.5,26,0,1,0.884615385,0,0,0.076923077,0,0.038461538,1.576923077,1.538461538,2,1.5,3.576923077,1.576923077,3.730769231,4.807692308,3.209302326,1.72,.,2.28,1.423076923,4.153846154,2.153846154,237.5,288,96.5,1092,52.5,52.5,52.5,146,153.5,149.75,573,474,366,401.5,405.5,4,405.5,406.5,1,195,454,453.5,453.75,292.5,303,0.524725275,1.208860759,0.824652778,0.088369963,0.350584307,0.048076923,0.335164835,0.371794872,0.178571429,0.272664835,0.415521978,99,0.434065934,1.702443764
4,B,AM-231,A,M,26.93103448,3.571428571,170,29,0,1,0.931034483,0,0,0.068965517,0,0,1.24137931,1.25,2.689655172,1.275862069,2.25,1.379310345,4.068965517,4.448275862,2.488372093,1.413793103,.,1.586206897,1.620689655,3.862068966,2.034482759,246.5,230.5,102,1214,43,41,42,151,149,150,633.5,510,458.5,452,441.5,10.5,403,406,3,257.5,522.5,517.5,520,326,322,0.521828666,1.242156863,1.069414317,0.084019769,0.28,0.034596376,0.3776771,0.333196046,0.212108731,0.266886326,0.428336079,123.5,0.420098847,1.65491684
4,D,AM-210,A,M,21.04761905,3.80952381,155,21,0,1,1,0,0,0,0,0,2,2.25,3.7,1.952380952,2.428571429,2.285714286,2.619047619,4.19047619,4.581395349,2.571428571,.,1.714285714,2.238095238,4.476190476,2.476190476,229.5,250,114,1090.5,46.5,45,45.75,140,142.5,141.25,597,447.5,403,404,382,22,376.5,377.5,1,207,453.5,449.5,451.5,294,280,0.547455296,1.334078212,0.918,0.104539202,0.323893805,0.041953232,0.36955525,0.345712976,0.189821183,0.263182027,0.414030261,149.5,0.410362219,1.770631833
4,A,AM-214,A,M,29.22222222,3.888888889,119,27,0,1,0.074074074,0.037037037,0.259259259,0.222222222,0.407407407,0,1.925925926,2.259259259,2.592592593,1.814814815,3.222222222,1.925925926,2.851851852,4.62962963,1.511627907,2.259259259,.,1.666666667,2.444444444,3.407407407,2.925925926,235.5,217.5,90.5,1095.5,47,52,49.5,148.5,158.5,153.5,616,516.5,444.5,446.5,460.5,14,339,330,9,215,432,424.5,428.25,348,361.5,0.562300319,1.192642788,1.082758621,0.08261068,0.32247557,0.045184847,0.405750799,0.305340027,0.196257417,0.323824738,0.390917389,99.5,0.471474213,2.084583942
5,D,BF-003,B,F,25.80898876,3.191011236,89,0.988764045,0.011235955,0.011235955,0.606741573,0.134831461,0.06741573,0.168539326,0.011235955,1.595505618,1.561797753,3.685393258,1.426966292,2.185185185,4.191011236,3.415730337,1.865168539,3.365853659,1.887640449,4.192307692,1.853932584,1.483146067,3.797752809,1.831460674,117.5,229.5,232.5,105.5,1078.5,55,59,57,165.5,160.5,163,708,597,428.5,422,413.5,8.5,350.5,367,16.5,177,449,451.5,450.25,297.5,299.5,0.656467316,1.185929648,0.987096774,0.097821048,0.349693252,0.052851182,0.39731108,0.332637923,0.164116829,0.276773296,0.417477979,0.102920723,0.553546592,1.77
5,C,BF-040,B,F,20.65517241,3.206896552,87,0.988505747,0.011494253,0,0.988505747,0,0,0,0.011494253,2.068965517,2.091954023,2.965517241,2.093023256,2.55,4.068965517,2.574712644,2.517241379,3.978723404,3.08045977,4.269230769,1.574712644,1.747126437,3.505747126,1.931034483,96,238,225,128.5,1067.5,61,60,60.5,151.5,155,153.25,650,593,435.5,452.5,441,11.5,329,327.5,1.5,186,444,455,449.5,323,328.5,0.608899297,1.096121417,1.057777778,0.120374707,0.394779772,0.056674473,0.407962529,0.307494145,0.174238876,0.305152225,0.421077283,0.053395785,0.555503513,1.83
5,B,BF-043,B,F,23.50526316,3.225806452,94,0.978494624,0.021505376,0,0.936170213,0.010638298,0.010638298,0.031914894,0.010638298,2.268817204,2.402173913,3.021505376,2.456521739,2.444444444,4.336956522,2.569892473,2.35483871,3.87755102,2.709677419,4.076923077,1.849462366,2.065217391,3.903225806,2.086021505,83,261.5,228.5,137.5,1030.5,54.5,55.5,55,154.5,156,155.25,688.5,600.5,406,406.5,393.5,13,327,329,2,155.5,443,429.5,436.25,304,282.5,0.668122271,1.146544546,1.144420131,0.133430374,0.354267311,0.053372149,0.393983503,0.318292091,0.150897623,0.284570597,0.423338185,0.085395439,0.582726832,2.06
5,A,BF-006,B,F,27.92631579,3.380434783,95,0.989361702,0.010638298,0.010526316,0.957894737,0.010526316,0,0.021052632,0,1.858695652,1.880434783,3.141304348,1.72826087,2.740740741,4.532608696,3.630434783,2.434782609,3.955555556,2.326086957,4.038461538,2.054347826,1.902173913,3.846153846,2.395604396,99.5,238.5,211,115,1027,66.5,69.5,68,163,160.5,161.75,728,598.5,421.5,446,435,11,306.5,322,15.5,161.5,416,417,416.5,330.5,314.5,0.708860759,1.216374269,1.130331754,0.111976631,0.420401855,0.066212269,0.410418695,0.305988315,0.157254138,0.314021422,0.405550146,0.126095424,0.582765336,2.07
